generating LQTLD for map...
Exiting
         1316182 function calls (1305194 primitive calls) in 1014.270 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:1(DefaultVerifyPaths)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
        1    0.000    0.000    0.000    0.000 <string>:1(_ASN1Object)
        1    0.000    0.000    0.000    0.000 <string>:1(_Version)
        1    0.000    0.000    0.000    0.000 <string>:1(manifest_mod)
        1    0.000    0.000    0.000    0.000 <string>:112(PIProxy)
        1    0.000    0.000    0.000    0.000 <string>:14(CommentProxy)
        1    0.000    0.000    0.000    0.000 <string>:22(ElementTree)
      682    0.003    0.000    0.043    0.000 <string>:23(parse)
        1    0.000    0.000    0.000    0.000 <string>:65(iterparse)
        2    0.000    0.000    0.000    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 BaseHTTPServer.py:102(HTTPServer)
        1    0.000    0.000    0.000    0.000 BaseHTTPServer.py:114(BaseHTTPRequestHandler)
        1    0.000    0.000    0.000    0.000 BaseHTTPServer.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ElementPath.py:112(prepare_self)
     1364    0.000    0.000    0.000    0.000 ElementPath.py:113(select)
        1    0.000    0.000    0.000    0.000 ElementPath.py:237(_SelectorContext)
      682    0.000    0.000    0.000    0.000 ElementPath.py:239(__init__)
      682    0.002    0.000    0.003    0.000 ElementPath.py:247(iterfind)
      682    0.003    0.000    0.010    0.000 ElementPath.py:283(find)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        6    0.000    0.000    0.000    0.000 ElementPath.py:73(xpath_tokenizer)
        2    0.000    0.000    0.000    0.000 ElementPath.py:96(prepare_child)
 1840/814    0.004    0.000    0.004    0.000 ElementPath.py:98(select)
        1    0.000    0.000    0.000    0.000 ElementTree.py:104(_SimpleElementPath)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1210(_IterParseIterator)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1376(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:138(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1466(XMLParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:171(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:580(QName)
        1    0.000    0.000    0.002    0.002 ElementTree.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:605(ElementTree)
      682    0.005    0.000    0.048    0.000 ElementTree.py:607(__init__)
      682    0.001    0.000    0.013    0.000 ElementTree.py:694(find)
      341    0.000    0.000    0.001    0.000 ElementTree.py:718(findtext)
        1    0.000    0.000    0.000    0.000 NodeFilter.py:4(<module>)
        1    0.000    0.000    0.000    0.000 NodeFilter.py:4(NodeFilter)
        1    0.000    0.000    0.000    0.000 SimpleXMLRPCServer.py:160(SimpleXMLRPCDispatcher)
        1    0.000    0.000    0.001    0.001 SimpleXMLRPCServer.py:424(SimpleXMLRPCRequestHandler)
        1    0.000    0.000    0.000    0.000 SimpleXMLRPCServer.py:569(SimpleXMLRPCServer)
        1    0.000    0.000    0.000    0.000 SimpleXMLRPCServer.py:603(MultiPathXMLRPCServer)
        1    0.000    0.000    0.000    0.000 SimpleXMLRPCServer.py:641(CGIXMLRPCRequestHandler)
        1    0.004    0.004    0.016    0.016 SimpleXMLRPCServer.py:97(<module>)
        1    0.000    0.000    0.000    0.000 SocketServer.py:120(<module>)
        1    0.000    0.000    0.000    0.000 SocketServer.py:155(BaseServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:355(TCPServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:481(UDPServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:507(ForkingMixIn)
        1    0.000    0.000    0.000    0.000 SocketServer.py:582(ThreadingMixIn)
